Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding
RBCAA,"Republic Bancorp, Inc.",50.5,USD,-0.6492228998622827,1790,0.13211989696124238,871708062.8860909,USD,10.691677428916224,4.7233,USD,,3.00807,Finance,Strong buy,8021488.096000001
BELFA,Bel Fuse Inc.,83.91,USD,-1.13114174620008,1575,0.08198214611040262,870588214.7055496,USD,16.184157231855266,5.1847,USD,18.80069657669218,0.282785,Electronic Technology,Buy,1591533.63611
BBSI,"Barrett Business Services, Inc.",132.795,USD,0.41209829867673914,25915,0.6239887121007821,868718144.2334971,USD,18.201568025439293,7.2958,USD,9.187506547538876,0.907372,Commercial Services,Buy,6320373.1536
BXC,Bluelinx Holdings Inc.,97.17,USD,-2.439759036144571,24243,0.292497357714749,841661385.06747,USD,18.202083021129926,5.3384,USD,-72.36209261991665,0,Distribution Services,Strong buy,8301827.379520001
UAN,"CVR Partners, LP",77.26,USD,-1.3911933631142173,15247,0.5563583287721219,816610087.615316,USD,9.822268555010298,7.8658,USD,-71.81726979577212,11.8571,Process Industries,,6431178.816
UBLXF,U-Blox Holding AG,112,USD,0.9463722397476315,20,0.11363636363636363,803187527.1875,USD,,-1.402008296,USD,-157.93495536419098,0.976563,Electronic Technology,Neutral,6767767.6052129995
BFC,Bank First Corporation,78.54,USD,-0.8208107084227698,7149,0.6584873856696786,791795495.6370755,USD,10.247110090546148,7.6646,USD,,1.57848,Finance,Neutral,9082071.1436
MRNO,Murano Global Investments PLC,9.36,USD,-1.1615628299894531,403,0.00902215913924572,742415322.6019007,USD,102.63157894736841,0.0912,USD,-74.5393634840871,0,Consumer Services,,1405372.37039
LZM,Lifezone Metals Limited,9.01,USD,0.5580357142857023,25077,0.32811230424411963,720803165.5669641,USD,,,,,0,Non-Energy Minerals,Strong buy,4451699.4761
AC,"Associated Capital Group, Inc.",33.55,USD,-2.186588921282799,344,0.10396832592861245,718378454.132653,USD,21.59361524103752,1.5537,USD,,0.58309,Finance,,2408441.89392
LSDAF,Lassonde Industries Inc.,103.36,USD,-1.3269689737470174,958,0.7664,705082622.8103187,USD,10.135602655020334,10.197716259999998,USD,68.01130790069571,2.06925,Consumer Non-Durables,Buy,3031898.859
WRLD,World Acceptance Corporation,119.65,USD,-1.926229508196717,3335,0.1331401105042956,699342015.2971312,USD,9.151541573927478,13.0743,USD,293.0229062706667,0,Finance,Neutral,4936620.074700001
